periode_data,tanggal,pm10,so2,co,o3,no2,max,critical,categori,lokasi_spku
201810,20/10/2018,57,31,18,212,14,212,O3,SANGAT TIDAK SEHAT,DKI5
201810,21/10/2018,65,33,22,139,17,139,O3,TIDAK SEHAT,DKI5
201810,22/10/2018,71,28,21,150,12,150,O3,TIDAK SEHAT,DKI5
201810,23/10/2018,44,26,19,148,16,148,O3,TIDAK SEHAT,DKI2
201810,24/10/2018,73,35,31,139,21,139,O3,TIDAK SEHAT,DKI2
201810,25/10/2018,67,30,25,97,19,97,O3,SEDANG,DKI5
201810,26/10/2018,67,29,20,119,21,119,O3,TIDAK SEHAT,DKI2
201810,27/10/2018,77,26,26,104,11,104,O3,TIDAK SEHAT,DKI3
201810,28/10/2018,43,23,20,90,16,90,O3,SEDANG,DKI3
201810,29/10/2018,49,25,24,85,13,85,O3,SEDANG,DKI3
201810,30/10/2018,61,31,25,104,10,104,O3,TIDAK SEHAT,DKI3
201810,31/10/2018,57,27,20,97,15,97,O3,SEDANG,DKI3
